,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,41.9,38,20743,2232,6287,9435,5238,832,20736,537,307,57.2,228,42.5,10744,58366,30164,683,495,184,551,380,12212,1265,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,53.1,38,24695,2164,6511,11786,6614,916,24690,494,278,56.3,216,43.7,13627,72502,37072,741,582,203,551,309,15971,1652,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,57.6,38,26121,1782,6315,12989,7048,973,26111,582,318,54.6,264,45.4,14786,81420,45177,845,676,196,548,415,17547,1815,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,58.8,38,25526,2181,7421,11647,6656,1065,25523,539,302,56.0,237,44.0,14231,77324,42340,917,592,247,548,347,16502,1710,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,64.6,38,26490,2114,7085,13042,6588,995,26484,607,366,60.3,241,39.7,14676,82808,44834,872,646,232,631,414,17425,1711,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,37.1,38,20301,2645,7508,8559,4459,609,20300,541,300,55.5,241,44.5,10700,54769,25744,501,394,133,542,377,12010,1116,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,54.8,38,25658,2115,6318,12495,7063,865,25653,590,309,52.4,281,47.6,14615,77347,41997,827,662,144,642,452,16640,1879,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,48.5,38,22290,2294,7169,10332,5017,712,22285,512,291,56.8,219,42.8,11609,63158,33311,598,428,154,575,478,13052,1351,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,28,51.2,38,24767,2137,6782,11798,6404,1026,24761,524,300,57.3,224,42.7,13459,71206,38700,816,572,253,582,372,15968,1703,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,52.8,38,24854,2275,7026,12324,5712,824,24846,625,362,57.9,263,42.1,13507,69842,36344,742,550,194,610,445,15783,1578,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,49.1,38,22968,2257,6476,10998,5737,762,22963,549,312,56.8,237,43.2,12096,65794,35124,695,568,150,616,438,14021,1446,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
