,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,vs Arsenal,2,38,38,3420,38,91,2.39,219,133,63.0,5,5,28,5,13.2,10,10,0,0,0.0,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,2,38,38,3420,38,76,2.0,186,114,61.3,10,8,20,6,15.8,4,4,0,0,0.0,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,3,38,38,3420,38,54,1.42,177,125,70.6,16,9,13,7,18.4,3,2,0,1,0.0,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,2,38,38,3420,38,56,1.47,162,108,67.3,19,9,10,8,21.1,3,3,0,0,0.0,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,2,38,38,3420,38,55,1.45,204,153,75.5,14,12,12,10,26.3,6,5,1,0,16.7,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,2,38,38,3420,38,41,1.08,140,100,72.9,24,9,5,12,31.6,3,3,0,0,0.0,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,2,38,38,3420,38,77,2.03,206,129,68.0,11,9,18,6,15.8,12,11,1,0,8.3,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,3,38,38,3420,38,57,1.5,166,110,68.1,15,10,13,7,18.4,4,4,0,0,0.0,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,1,38,38,3420,38,40,1.05,155,114,75.5,16,9,13,12,31.6,3,2,1,0,33.3,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,1,38,38,3420,38,55,1.45,177,123,70.1,17,8,13,13,34.2,2,2,0,0,0.0,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,2,38,38,3420,38,86,2.26,271,189,70.5,4,10,24,3,7.9,9,6,2,1,25.0,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,2,38,38,3420,38,52,1.37,139,90,66.2,24,8,6,5,13.2,5,5,0,0,0.0,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,2,38,38,3420,38,96,2.53,273,179,68.1,3,7,28,3,7.9,10,9,0,1,0.0,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,1,38,38,3420,38,57,1.5,189,131,73.0,14,6,18,9,23.7,7,6,1,0,14.3,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,3,38,38,3420,38,85,2.24,205,121,62.4,14,6,18,5,13.2,9,8,1,0,11.1,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,3,38,38,3420,38,49,1.29,144,95,66.7,20,9,9,10,26.3,1,1,0,0,0.0,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,2,38,38,3420,38,35,0.92,122,91,75.4,28,7,3,15,39.5,5,5,0,0,0.0,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,1,38,38,3420,38,74,1.95,209,140,65.6,12,6,20,4,10.5,2,2,0,0,0.0,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,2,38,38,3420,38,60,1.58,151,92,62.9,14,10,14,8,21.1,5,4,1,0,20.0,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,2,38,38,3420,38,50,1.32,157,110,70.7,18,7,13,9,23.7,4,4,0,0,0.0,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
