,,,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,vs Arsenal,2,38,91,10,0,14,5,70.5,0.28,-15.5,-0.41,213,652,32.7,1193,125,39.6,35.3,328,54.9,40.6,518,28,5.4,36,0.95,12.7,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,2,38,76,4,1,7,4,62.1,0.33,-9.9,-0.26,136,334,40.7,820,163,29.0,31.6,228,42.1,36.3,476,33,6.9,62,1.63,15.4,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,3,38,54,2,0,11,2,47.7,0.26,-4.3,-0.11,250,650,38.5,1289,161,37.0,34.1,316,54.7,41.3,557,34,6.1,60,1.58,15.5,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,2,38,56,3,2,6,2,52.5,0.31,-1.5,-0.04,228,717,31.8,1039,151,52.0,40.7,278,63.7,44.9,557,50,9.0,50,1.32,15.5,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,2,38,55,5,0,6,5,62.8,0.28,12.8,0.34,174,626,27.8,1280,157,36.7,34.4,286,54.5,41.1,515,31,6.0,32,0.84,13.6,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,2,38,41,3,0,4,1,36.3,0.24,-3.7,-0.1,218,559,39.0,1156,152,38.0,33.9,261,46.0,36.5,426,18,4.2,39,1.03,16.3,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,2,38,77,11,1,9,1,71.3,0.3,-4.7,-0.12,172,463,37.1,1064,197,32.0,32.4,254,48.4,37.4,426,34,8.0,70,1.84,17.4,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,3,38,57,4,1,3,1,49.1,0.28,-6.9,-0.18,122,404,30.2,1257,193,26.3,29.0,246,30.1,30.3,452,31,6.9,50,1.32,15.4,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,1,38,40,2,1,12,0,44.6,0.29,4.6,0.12,123,401,30.7,1377,249,21.8,28.6,312,32.4,30.2,588,50,8.5,60,1.58,14.7,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,1,38,55,2,0,10,1,54.8,0.3,0.8,0.02,143,400,35.8,1116,209,25.6,29.4,282,40.4,35.8,600,33,5.5,52,1.37,14.8,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,2,38,86,6,1,11,6,82.3,0.28,2.3,0.06,168,666,25.2,1001,182,44.0,36.9,365,61.9,44.8,664,52,7.8,55,1.45,14.5,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,2,38,52,5,1,10,3,46.7,0.31,-2.3,-0.06,204,626,32.6,1239,141,36.6,34.2,265,64.9,47.4,653,51,7.8,38,1.0,13.2,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,2,38,96,9,3,11,2,89.5,0.3,-4.5,-0.12,176,537,32.8,1191,163,33.4,32.5,315,44.1,36.0,521,28,5.4,34,0.89,12.7,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,1,38,57,6,0,6,0,55.4,0.26,-1.6,-0.04,183,489,37.4,1243,177,31.6,31.6,269,35.7,32.2,461,30,6.5,51,1.34,15.9,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,3,38,85,8,0,7,2,77.4,0.34,-5.6,-0.15,214,680,31.5,1216,158,40.5,35.1,307,60.9,43.5,508,30,5.9,48,1.26,14.5,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,3,38,49,1,0,3,0,44.9,0.31,-4.1,-0.11,115,320,35.9,1109,162,22.7,27.8,245,27.8,28.9,466,34,7.3,57,1.5,14.7,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,2,38,35,5,0,3,4,38.2,0.28,7.2,0.19,111,302,36.8,1053,167,22.7,29.2,203,31.0,31.2,351,35,10.0,56,1.47,18.5,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,1,38,74,2,0,9,5,65.6,0.31,-3.4,-0.09,285,674,42.3,1110,175,45.2,37.2,287,59.9,44.1,525,31,5.9,42,1.11,15.2,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,2,38,60,4,0,12,2,53.5,0.33,-4.5,-0.12,132,401,32.9,1187,185,26.5,29.3,247,35.2,31.7,499,33,6.6,24,0.63,11.9,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,2,38,50,4,0,10,3,46.0,0.28,-1.0,-0.03,124,405,30.6,1076,177,28.0,30.7,250,41.6,34.0,473,35,7.4,80,2.11,19.2,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
