,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,vs Arsenal,25,38,82,2,2,407,365,60,476,299,376,2,10,5,1585,499,503,49.8,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,31,38,94,4,2,483,394,167,542,304,435,2,4,4,1825,363,334,52.1,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,30,38,82,2,1,396,487,50,649,264,480,6,3,2,1910,671,582,53.6,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,28,38,75,4,3,434,371,56,764,293,329,2,3,2,1870,607,632,49.0,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,30,38,99,5,3,461,399,71,526,355,396,5,6,5,1722,345,406,45.9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,31,38,84,3,1,369,422,95,700,292,387,7,3,1,1883,696,561,55.4,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,32,38,100,4,3,466,430,70,683,374,438,5,12,1,1808,402,440,47.7,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,26,38,78,2,1,441,439,74,769,301,446,3,4,1,1884,555,553,50.1,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,26,38,61,2,0,373,444,62,716,262,335,6,3,0,1916,577,676,46.0,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,25,38,65,0,0,385,373,99,597,321,333,8,2,1,1857,509,487,51.1,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,30,38,98,4,3,391,453,75,477,378,438,1,9,6,1842,441,583,43.1,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,28,38,73,2,1,471,423,49,698,269,418,3,5,3,1873,631,635,49.8,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,25,38,93,2,1,422,280,82,399,314,335,3,10,2,1591,288,325,47.0,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,31,38,85,1,0,353,389,52,780,378,373,6,7,0,1889,450,436,50.8,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,32,38,97,3,1,485,377,54,588,342,409,5,9,2,1864,418,453,48.0,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,33,38,81,7,2,383,420,38,799,289,341,4,1,0,1867,556,583,48.8,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,35,38,53,2,1,330,407,69,845,275,357,5,5,4,1875,693,585,54.2,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,29,38,100,4,2,530,414,125,661,416,411,6,2,5,1880,388,359,51.9,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,26,38,71,2,1,406,364,54,758,253,406,9,5,2,1860,570,576,49.7,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,27,38,84,3,1,420,460,47,731,329,431,6,4,3,1892,491,441,52.7,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
