,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,16,1,1,3,0,15.2,0.24,-0.8,-0.05,84,240,35.0,559,71,34.0,31.5,63,79.4,54.8,194,26,13.4,31,1.82,15.9
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,25,1,1,1,0,21.8,0.31,-3.2,-0.2,71,162,43.8,537,59,23.8,29.6,70,48.6,41.0,218,24,11.0,15,0.91,13.3
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,1,0,0,0,0,1.1,0.37,0.1,0.13,1,6,16.7,19,0,21.1,26.5,2,100.0,70.0,2,0,0.0,0,0.0,8.3
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,16,1,0,0,0,17.3,0.29,1.3,0.11,65,149,43.6,297,45,34.3,33.6,84,56.0,42.4,147,8,5.4,19,1.58,15.2
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,3,0,0,1,0,6.3,0.42,3.3,1.11,25,45,55.6,49,15,53.1,38.3,23,82.6,58.7,40,0,0.0,4,1.33,13.4
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,32,1,0,1,1,28.6,0.25,-2.4,-0.14,109,274,39.8,721,56,31.6,33.7,88,52.3,45.0,285,18,6.3,21,1.24,12.5
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,25,2,1,2,1,24.0,0.34,0.0,0.0,60,155,38.7,527,68,24.7,28.2,37,67.6,47.3,193,12,6.2,22,1.47,14.6
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,1,0,0,0,0,1.8,0.46,0.8,0.84,0,4,0.0,21,4,19.0,24.0,0,,,13,1,7.7,0,0.0,6.5
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16.0,18,3,0,1,0,19.7,0.23,1.7,0.11,44,185,23.8,592,94,28.0,30.6,45,42.2,37.1,158,22,13.9,35,2.19,15.1
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17.0,26,0,0,2,2,26.2,0.36,2.2,0.13,56,257,21.8,405,55,48.4,38.4,123,49.6,41.9,248,13,5.2,24,1.41,16.2
