,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,294,352,83.5,4830,1659,150,164,91.5,123,142,86.6,14,32,43.8,1,0.4,0.4,0.6,3,27,6,1,30
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,406,546,74.4,6315,1918,238,265,89.8,119,163,73.0,36,77,46.8,10,5.8,5.6,4.2,42,11,28,9,53
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,452,624,72.4,11671,8239,110,112,98.2,228,231,98.7,114,279,40.9,0,0.0,0.0,0.0,0,21,1,0,3
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,610,733,83.2,10864,2837,289,312,92.6,243,275,88.4,66,121,54.5,3,3.4,2.5,-0.4,24,60,14,1,89
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,54,62,87.1,865,280,32,35,91.4,15,16,93.8,6,8,75.0,0,0.2,0.3,-0.2,2,4,2,0,7
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,89,119,74.8,1127,231,61,75,81.3,21,24,87.5,2,4,50.0,0,0.5,0.2,-0.5,5,7,3,0,11
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,788,877,89.9,13854,4066,323,338,95.6,403,431,93.5,53,89,59.6,1,0.5,0.6,0.5,6,63,3,0,59
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,211,300,70.3,3228,655,126,157,80.3,70,97,72.2,12,22,54.5,2,2.2,2.5,-0.2,17,4,14,8,18
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,147,175,84.0,2623,792,57,63,90.5,80,88,90.9,9,19,47.4,0,0.1,0.0,-0.1,1,8,0,0,8
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,230,264,87.1,3653,789,116,131,88.5,98,105,93.3,11,19,57.9,0,0.2,0.3,-0.2,2,22,8,0,29
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,522,626,83.4,7601,2219,294,328,89.6,208,249,83.5,12,25,48.0,1,0.6,0.8,0.4,13,44,8,1,60
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,287,367,78.2,3460,775,200,237,84.4,72,87,82.8,2,8,25.0,2,2.2,1.3,-0.2,13,20,7,1,47
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,226,317,71.3,4158,1317,101,128,78.9,94,122,77.0,26,43,60.5,1,2.1,1.2,-1.1,16,17,21,4,43
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,403,476,84.7,6135,1699,225,241,93.4,153,176,86.9,16,31,51.6,2,1.7,2.2,0.3,24,44,29,2,91
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,161,211,76.3,2372,714,98,111,88.3,53,70,75.7,6,13,46.2,0,0.8,0.5,-0.8,5,17,10,2,22
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,90,97,92.8,1277,288,56,58,96.6,29,32,90.6,3,3,100.0,0,0.1,0.1,-0.1,1,11,0,0,9
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,166,203,81.8,2642,649,92,99,92.9,64,77,83.1,7,17,41.2,0,0.0,0.1,0.0,1,13,1,0,19
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,39,53,73.6,535,118,25,31,80.6,13,18,72.2,1,2,50.0,1,0.2,0.1,0.8,3,1,1,0,6
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,256,303,84.5,3927,953,140,154,90.9,98,116,84.5,13,15,86.7,1,0.1,0.5,0.9,3,19,4,1,24
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,794,895,88.7,12760,3351,414,439,94.3,318,358,88.8,48,68,70.6,2,1.3,1.0,0.7,9,71,18,1,88
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,1051,1115,94.3,17988,5110,442,457,96.7,551,577,95.5,54,67,80.6,0,0.5,0.7,-0.5,2,71,1,0,53
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,341,381,89.5,5274,1245,169,178,94.9,146,158,92.4,14,18,77.8,0,0.1,0.2,-0.1,3,23,4,1,24
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,224,241,92.9,3507,980,117,119,98.3,95,104,91.3,9,13,69.2,0,0.1,0.1,-0.1,1,23,2,0,21
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,8.2,476,538,88.5,9850,3775,119,130,91.5,306,325,94.2,50,76,65.8,0,0.0,0.1,0.0,0,22,1,0,34
