,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,352,292,58,12,1,5,7,42,0,0,0,0,294,2,2
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,546,476,67,7,4,2,99,10,50,47,0,2,406,3,18
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,624,517,105,42,0,0,0,0,0,0,0,0,452,2,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,733,629,101,36,1,11,80,2,48,43,3,0,610,3,5
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,62,57,4,1,1,0,4,0,3,3,0,0,54,1,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,119,115,2,0,0,0,4,2,0,0,0,0,89,2,10
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,877,839,38,21,0,6,6,2,0,0,0,0,788,0,5
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,300,292,8,0,0,1,42,6,2,2,0,0,211,0,20
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,175,167,7,2,0,1,0,2,0,0,0,0,147,1,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,264,261,3,2,1,1,0,0,0,0,0,0,230,0,3
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,626,517,106,9,1,0,13,97,0,0,0,0,522,3,11
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,367,361,4,0,1,0,6,4,0,0,0,0,287,2,8
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,317,298,16,2,5,2,27,5,6,6,0,0,226,3,12
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,476,447,25,10,9,0,20,5,3,2,0,0,403,4,12
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,211,209,1,1,3,1,7,0,0,0,0,0,161,1,9
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,97,84,12,1,0,0,0,11,0,0,0,0,90,1,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,203,172,30,8,0,3,5,21,0,0,0,0,166,1,2
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,53,52,0,0,0,0,5,0,0,0,0,0,39,1,1
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,303,265,38,3,0,1,6,35,0,0,0,0,256,0,7
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,895,833,60,14,3,1,4,40,0,0,0,0,794,2,8
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,1115,1093,20,17,0,8,0,0,0,0,0,0,1051,2,3
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,381,378,2,2,0,0,1,0,0,0,0,0,341,1,8
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,241,233,8,8,0,0,0,0,0,0,0,0,224,0,0
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31-283,1993,8.2,538,512,23,15,0,6,0,0,0,0,0,0,476,3,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-364,1996,0.5,38,37,1,1,1,0,0,0,0,0,0,0,31,0,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,609,508,99,29,0,1,0,0,0,0,0,0,502,2,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-061,1997,14.1,715,645,70,42,6,0,5,25,0,0,0,0,656,0,12
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22-288,2002,3.2,205,168,37,6,0,0,17,27,4,2,0,0,166,0,9
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,7.0,262,260,1,0,2,1,5,1,0,0,0,0,223,1,6
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,3.7,86,85,1,0,1,0,4,1,0,0,0,0,63,0,9
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,6.3,143,136,6,0,2,0,3,0,0,0,0,0,102,1,3
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,11.9,329,312,17,6,6,0,30,3,4,2,1,0,264,0,8
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,1.1,36,28,8,1,0,0,1,7,0,0,0,0,31,0,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,2.4,138,121,17,6,0,0,0,11,0,0,0,0,120,0,1
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,8.1,241,228,12,0,4,0,24,0,12,7,0,0,168,1,16
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,13.9,684,540,144,26,1,1,87,82,36,25,6,0,518,0,24
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,9.2,396,329,67,10,0,0,9,57,0,0,0,0,319,0,7
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,15.6,431,397,34,2,11,3,6,4,0,0,0,0,328,0,21
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,12.6,167,164,2,0,0,0,3,0,0,0,0,0,127,1,5
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16.0,1001,913,85,48,4,8,1,3,0,0,0,0,881,3,3
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,21,18,3,1,0,0,0,0,0,0,0,0,16,0,0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,5.0,292,279,12,10,0,2,0,1,0,0,0,0,248,1,7
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1.0,40,39,1,1,0,0,0,0,0,0,0,0,36,0,1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,16.3,1009,910,95,39,13,4,74,2,52,44,4,1,833,4,16
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,11.5,407,327,80,4,0,2,18,76,0,0,0,0,312,0,8
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,2.9,132,128,3,2,0,1,0,0,0,0,0,0,116,1,4
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,15.4,463,436,21,1,4,4,26,19,1,0,0,0,332,6,18
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,7.8,245,223,22,0,1,3,38,20,2,0,0,0,142,0,11
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,0.3,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,2.0,89,83,6,0,1,0,15,3,3,3,0,0,59,0,5
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,6.8,394,383,10,7,1,4,4,1,0,0,0,0,325,1,2
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,2.7,66,64,1,0,1,1,2,0,0,0,0,0,41,1,2
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,13.1,168,166,1,0,4,2,1,0,0,0,0,0,111,1,7
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17.0,804,785,18,15,2,2,4,0,0,0,0,0,667,1,4
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,0.1,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,3.9,166,141,25,1,0,0,4,24,0,0,0,0,131,0,2
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,11.7,298,268,26,2,2,3,30,4,4,2,0,0,211,4,11
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,382,267,114,30,0,0,0,0,0,0,0,0,279,1,1
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,14.6,713,609,103,37,3,2,70,14,50,42,2,0,532,1,12
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,2.3,70,69,0,0,0,1,5,0,0,0,0,0,54,1,3
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,10.2,578,547,26,20,0,1,7,5,0,0,0,0,440,5,1
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,12.7,504,422,79,21,3,4,71,11,35,27,2,0,362,3,14
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,72,44,28,5,0,0,0,0,0,0,0,0,51,0,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,0.2,20,19,1,1,0,0,2,0,0,0,0,0,17,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,16.2,685,568,113,5,2,0,42,108,0,0,0,0,529,4,15
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,62,42,19,4,0,0,0,0,0,0,0,0,40,1,0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,0.9,54,49,4,0,0,1,5,1,3,1,2,0,38,1,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,12.6,533,499,31,10,3,5,20,3,13,7,3,0,436,3,9
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,5.1,202,191,10,10,1,0,0,0,0,0,0,0,169,1,3
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,1.1,77,70,7,4,0,1,0,3,0,0,0,0,63,0,1
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,16.9,592,516,74,19,8,3,90,11,39,29,2,0,407,2,23
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,12.8,610,592,14,8,2,0,5,6,0,0,0,0,508,4,12
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,0.6,29,28,1,1,0,0,0,0,0,0,0,0,27,0,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16.0,845,744,101,9,0,0,8,39,0,0,0,0,712,0,7
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,4.8,164,149,14,4,2,0,10,1,7,3,0,0,116,1,7
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,14.3,454,413,38,4,0,3,35,32,1,0,0,0,360,3,13
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,8.4,170,162,8,0,1,1,16,6,0,0,0,0,101,0,8
