,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Aaron Ramsdale,ENG,GK,26-223,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ayden Heaven,ENG,DF,18-092,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,9,695,77,45.4,7.7,7,90,7,2,33,0,1.44,9,7,2,0.26,-1.47,8.5,9.7,-1.2,-0.16,-1.74
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,16,1268,79,82.9,14.1,16,79,7,0,,0,2.06,30,13,17,1.21,0.86,25.4,10.7,14.7,1.04,1.46
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17,1530,90,100.0,17.0,17,90,17,0,,0,1.94,34,16,18,1.06,,29.3,15.8,13.5,0.79,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,15,1196,80,78.2,13.3,14,83,10,1,33,1,1.8,27,14,13,0.98,-0.37,24.1,11.4,12.7,0.96,0.75
ENG-Premier League,2425,Arsenal,Eddie Nketiah,ENG,FW,25-207,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,10,117,12,7.6,1.3,0,,0,10,12,7,1.8,3,0,3,2.31,1.35,2.3,0.8,1.5,1.16,0.4
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,14,358,26,23.4,4.0,3,78,1,11,11,1,1.86,10,3,7,1.76,0.92,7.3,3.8,3.5,0.87,0.1
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,15,1268,85,82.9,14.1,15,85,13,0,,0,1.93,31,14,17,1.21,0.86,24.9,14.2,10.7,0.76,-0.2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,15,946,63,61.8,10.5,11,76,2,4,27,2,1.8,18,10,8,0.76,-0.78,15.8,10.7,5.1,0.49,-0.8
ENG-Premier League,2425,Arsenal,Ismeal Kabia,ENG,MF,19-013,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,8,327,41,21.4,3.6,2,90,2,6,25,8,1.88,3,5,-2,-0.55,-2.05,5.6,4.2,1.4,0.39,-0.52
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,8,393,49,25.7,4.4,5,72,2,3,12,9,2.13,9,4,5,1.15,0.12,9.1,2.9,6.3,1.43,0.86
ENG-Premier League,2425,Arsenal,Josh Nichols,ENG,DF,18-150,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
