,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,419,37,137,191,93,7,419,2,0,0.0,1,50.0,193,672,332,4,7,1,7,3,245,15
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,733,6,40,163,536,115,732,73,33,45.2,29,39.7,463,3196,1846,72,19,37,24,35,526,195
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,654,410,622,32,0,0,654,0,0,,0,,417,2072,1253,0,0,0,1,0,375,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,849,34,151,399,306,29,849,14,6,42.9,7,50.0,437,2851,1542,41,27,7,13,12,550,40
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,75,1,12,29,35,4,75,5,4,80.0,0,0.0,53,423,232,8,8,2,4,4,55,8
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,185,6,19,71,96,30,185,15,4,26.7,8,53.3,116,630,289,8,5,6,6,10,135,35
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,1004,114,387,504,117,25,1004,4,4,100.0,0,0.0,580,2311,1417,5,8,0,3,2,747,8
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,428,8,47,120,269,77,428,55,16,29.1,29,52.7,269,2159,1173,57,18,26,22,20,307,129
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,202,31,91,103,8,0,202,2,1,50.0,1,50.0,94,333,153,1,0,0,0,0,138,0
