,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,0,4,1,25.0,0.52,0.13,0.0,0.0,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,5,45,17,37.8,3.19,1.21,0.09,0.24,15.9,0,1,1,4.2,3.4,0.08,0.8,0.6
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,1,18,4,22.2,1.35,0.3,0.06,0.25,20.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,1,4,2,50.0,3.08,1.54,0.25,0.5,20.8,0,0,0,0.2,0.2,0.04,0.8,0.8
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,2,15,5,33.3,3.77,1.26,0.13,0.4,12.1,0,0,0,1.7,1.7,0.12,0.3,0.3
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,3,16,5,31.3,1.14,0.35,0.19,0.6,8.0,0,0,0,2.1,2.1,0.13,0.9,0.9
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,4,18,10,55.6,1.71,0.95,0.22,0.4,12.6,0,0,0,3.0,3.0,0.17,1.0,1.0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,0,1,0,0.0,0.23,0.0,0.0,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,1,10,2,20.0,0.74,0.15,0.1,0.5,15.0,0,0,0,0.7,0.7,0.07,0.3,0.3
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,6,37,14,37.8,2.4,0.91,0.16,0.43,11.5,0,0,0,6.7,6.7,0.18,-0.7,-0.7
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,3,22,8,36.4,2.16,0.79,0.14,0.38,16.2,0,0,0,3.0,3.0,0.13,0.0,0.0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,1,13,4,30.8,1.43,0.44,0.0,0.0,17.8,0,1,1,2.3,1.5,0.11,-1.3,-1.5
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,1,9,3,33.3,1.69,0.56,0.11,0.33,12.3,0,0,0,1.3,1.3,0.14,-0.3,-0.3
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,0,1,0,0.0,0.38,0.0,0.0,,11.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,0,4,0,0.0,2.43,0.0,0.0,,14.2,1,0,0,0.5,0.5,0.13,-0.5,-0.5
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,1,5,4,80.0,0.83,0.67,0.2,0.25,12.6,0,0,0,0.5,0.5,0.11,0.5,0.5
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,2,12,4,33.3,0.83,0.28,0.17,0.5,17.6,0,0,0,1.2,1.2,0.1,0.8,0.8
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,2,3,2,66.7,0.2,0.13,0.67,1.0,2.5,0,0,0,1.9,1.9,0.63,0.1,0.1
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-129,2001,9.0,2,12,4,33.3,1.33,0.44,0.17,0.5,11.1,0,0,0,1.8,1.8,0.15,0.2,0.2
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-030,1999,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
