,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.0,0.13,0.13,0.0,0.13,0.02,0.06,0.07,0.02,0.07
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,16,16,1268,14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.3,0.41,0.71,0.24,0.65
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,15,14,1196,13.3,1,3,4,1,0,0,5,1,1.1,1.1,3.4,4.6,41,89,40,0.08,0.23,0.3,0.08,0.3,0.08,0.26,0.34,0.08,0.34
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,10,0,117,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,8,7,8,0.77,0.0,0.77,0.77,0.77,0.12,0.13,0.25,0.12,0.25
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,14,3,358,4.0,2,0,2,2,0,0,4,0,1.7,1.7,0.5,2.2,8,11,35,0.5,0.0,0.5,0.5,0.5,0.44,0.12,0.56,0.44,0.56
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,15,15,1268,14.1,3,1,4,3,0,0,2,0,2.1,2.1,0.5,2.6,5,59,8,0.21,0.07,0.28,0.21,0.28,0.15,0.03,0.18,0.15,0.18
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,15,11,946,10.5,4,2,6,4,0,0,1,0,3.0,3.0,2.2,5.2,57,18,129,0.38,0.19,0.57,0.38,0.57,0.29,0.21,0.5,0.29,0.5
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,8,5,393,4.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,8,29,2,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,15,14,1215,13.5,1,1,2,1,0,0,4,0,0.7,0.7,0.6,1.3,23,60,42,0.07,0.07,0.15,0.07,0.15,0.05,0.05,0.1,0.05,0.1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,16,16,1390,15.4,6,2,8,6,0,0,2,0,6.7,6.7,2.2,8.9,24,47,79,0.39,0.13,0.52,0.39,0.52,0.44,0.14,0.58,0.44,0.58
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,17,10,917,10.2,3,1,4,3,0,0,2,1,3.0,3.0,2.1,5.1,31,43,75,0.29,0.1,0.39,0.29,0.39,0.29,0.21,0.5,0.29,0.5
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,10,10,816,9.1,1,2,3,0,1,1,1,0,2.3,1.5,1.7,3.2,27,91,51,0.11,0.22,0.33,0.0,0.22,0.25,0.19,0.44,0.16,0.35
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,10,5,480,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.8,2.0,2,22,25,0.19,0.0,0.19,0.19,0.19,0.24,0.15,0.38,0.24,0.38
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,4,2,141,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,6,2,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,6,2,148,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,10,6,19,0.0,0.61,0.61,0.0,0.61,0.31,0.1,0.41,0.31,0.41
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,9,6,540,6.0,1,1,2,1,0,0,1,0,0.5,0.5,0.1,0.7,8,24,13,0.17,0.17,0.33,0.17,0.33,0.09,0.02,0.12,0.09,0.12
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,16,14,1309,14.5,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.6,8,88,13,0.14,0.14,0.28,0.14,0.28,0.09,0.09,0.18,0.09,0.18
