,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,23,17,340,205,199,107,34,147,291,50.5,144,184,68,116,112,452,414,11,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,297,169,139,113,45,126,266,47.4,140,189,63,126,154,451,337,11,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,304,184,139,131,34,142,267,53.2,125,183,81,102,116,420,404,20,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,277,164,124,93,60,132,247,53.4,115,155,44,111,149,426,425,15,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,353,200,183,124,46,191,343,55.7,152,210,81,129,149,502,365,14,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,297,166,148,111,38,161,322,50.0,161,196,75,121,134,431,340,20,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,270,153,92,131,47,104,189,55.0,85,197,72,125,172,442,326,12,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,324,201,153,126,45,149,286,52.1,137,171,50,121,88,412,292,11,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,17,253,153,123,93,37,122,257,47.5,135,196,64,132,173,426,416,10,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,17,271,157,131,101,39,116,244,47.5,128,176,51,125,126,397,344,7,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,17,324,203,126,135,63,168,308,54.5,140,171,40,131,128,452,340,10,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,16,270,173,149,94,27,117,245,47.8,128,179,67,112,113,383,361,22,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,17,317,181,197,95,25,130,302,43.0,172,235,83,152,144,461,444,14,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,17,299,189,150,117,32,147,279,52.7,132,202,60,142,145,444,347,11,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,17,352,211,155,136,61,133,264,50.4,131,197,64,133,141,493,408,12,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,17,255,161,113,93,49,111,243,45.7,132,178,63,115,138,393,360,17,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,17,305,183,110,141,54,150,272,55.1,122,170,55,115,152,457,295,5,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,17,368,226,192,129,47,187,338,55.3,151,236,65,171,211,579,419,24,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,17,356,209,157,142,57,161,327,49.2,166,196,81,115,133,489,374,11,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,17,277,165,104,129,44,126,277,45.5,151,181,46,135,137,414,314,15,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
