,,,players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,23,17,5744,7148,80.4,98416,33171,2771,3095,89.5,2390,2740,87.2,468,995,47.0,12,10.6,11.6,1.4,140,429,91,29,455,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,6740,8004,84.2,113984,38390,3349,3633,92.2,2686,3025,88.8,559,984,56.8,17,14.2,15.3,2.8,142,524,108,25,570,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,6958,8734,79.7,118493,46320,3372,3803,88.7,2843,3336,85.2,569,1144,49.7,16,17.4,18.3,-1.4,182,487,156,32,604,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,7029,8699,80.8,120245,41740,3417,3794,90.1,2878,3302,87.2,606,1218,49.8,25,21.6,20.7,3.4,238,655,203,42,738,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,6224,7793,79.9,111300,40036,2702,3039,88.9,2868,3240,88.5,542,1106,49.0,16,21.5,14.8,-5.5,154,445,115,24,546,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,5696,7121,80.0,96759,36451,2738,3073,89.1,2417,2740,88.2,429,947,45.3,13,17.4,13.4,-4.4,130,430,117,22,537,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,7788,9548,81.6,137361,47519,3421,3897,87.8,3496,3950,88.5,701,1227,57.1,19,19.1,17.4,-0.1,169,608,120,25,701,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,7986,9489,84.2,134585,45480,3808,4194,90.8,3404,3806,89.4,592,1078,54.9,18,17.5,16.1,0.5,159,571,141,40,693,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,17,6801,8279,82.1,114507,38814,3232,3572,90.5,2841,3253,87.3,531,1016,52.3,20,16.3,13.6,3.7,142,522,121,25,623,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,17,7833,9435,83.0,135816,43501,3638,4029,90.3,3435,3851,89.2,634,1207,52.5,20,26.2,22.0,-6.2,191,593,159,33,700,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,17,7525,9135,82.4,129452,44409,3573,3972,90.0,3229,3691,87.5,609,1071,56.9,26,25.2,22.8,0.8,237,621,178,39,821,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,16,5675,7069,80.3,97006,34944,2670,2994,89.2,2375,2737,86.8,477,926,51.5,13,12.1,10.4,0.9,123,364,94,23,506,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,17,5628,6842,82.3,96800,34519,2697,2964,91.0,2277,2561,88.9,504,965,52.2,19,18.9,14.3,0.1,127,351,113,34,378,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,17,6472,7974,81.2,108989,38239,3084,3471,88.9,2717,3128,86.9,500,973,51.4,17,18.7,15.3,-1.7,142,452,105,25,528,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,17,6571,8164,80.5,109627,37903,3336,3680,90.7,2561,2945,87.0,516,1094,47.2,19,16.8,16.6,2.2,174,531,133,27,616,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,17,7903,9524,83.0,132892,43917,3726,4163,89.5,3498,3984,87.8,531,981,54.1,14,13.6,14.6,0.4,172,666,158,26,878,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,17,7028,8346,84.2,119248,39148,3321,3662,90.7,3072,3427,89.6,511,930,54.9,25,29.6,22.9,-4.6,238,573,194,39,714,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,17,5461,6952,78.6,97243,37106,2559,2880,88.9,2178,2527,86.2,586,1132,51.8,15,19.9,16.7,-4.9,164,412,140,46,538,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,17,7098,8793,80.7,124227,43115,3285,3711,88.5,2990,3492,85.6,676,1205,56.1,23,23.8,20.4,-0.8,220,635,168,40,726,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,17,7136,8694,82.1,123697,43211,3328,3721,89.4,3110,3555,87.5,577,1056,54.6,27,19.7,18.1,7.3,185,574,168,33,740,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
