,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,23,17,7148,6418,710,223,21,32,257,243,55,29,13,1,5744,20,122,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,8004,7330,638,214,25,41,282,197,66,45,11,2,6740,36,121,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,8734,7816,901,253,30,24,283,350,95,62,14,2,6958,17,174,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,8699,7934,739,159,30,38,383,293,124,69,23,0,7029,26,153,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,7793,6970,773,215,37,44,268,287,89,65,10,2,6224,50,154,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,7121,6353,720,212,32,20,223,256,64,36,16,0,5696,48,148,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,9548,8731,794,207,40,41,322,327,104,66,18,4,7788,23,184,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,9489,8727,734,218,28,50,303,300,91,64,9,2,7986,28,119,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,17,8279,7509,726,194,37,42,290,278,86,62,15,1,6801,44,142,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,17,9435,8649,765,222,48,54,315,304,110,60,21,1,7833,21,127,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,17,9135,8339,777,208,27,50,335,309,112,74,18,0,7525,19,186,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,16,7069,6328,708,197,22,35,222,255,72,38,11,1,5675,33,143,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,17,6842,6211,592,145,35,45,180,212,51,36,9,1,5628,39,123,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,17,7974,7246,708,212,30,31,253,267,79,52,15,0,6472,20,134,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,17,8164,7392,745,197,42,34,306,275,93,45,24,0,6571,27,173,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,17,9524,8725,781,230,22,50,371,296,108,68,19,0,7903,18,145,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,17,8346,7631,696,220,34,41,346,249,125,81,18,3,7028,19,123,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,17,6952,6158,758,215,27,43,287,253,94,57,18,2,5461,36,155,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,17,8793,7963,806,225,44,37,359,326,108,54,23,3,7098,24,149,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,17,8694,7868,791,237,25,35,357,275,129,88,15,0,7136,35,162,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
