,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,23,17,276,172,109,114,53,123,254,48.4,131,174,64,110,109,385,304,16,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,17,283,164,131,110,42,128,232,55.2,104,143,44,99,120,403,304,17,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,17,337,197,144,140,53,140,283,49.5,143,210,61,149,165,502,416,10,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,17,294,182,134,102,58,140,259,54.1,119,220,89,131,138,432,470,13,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,17,296,173,104,139,53,146,310,47.1,164,206,61,145,138,434,323,12,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,17,283,182,133,113,37,136,274,49.6,138,183,56,127,136,419,287,17,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,17,367,212,182,141,44,152,321,47.4,169,217,60,157,142,509,437,8,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,16,332,183,167,122,43,164,294,55.8,130,149,56,93,149,481,385,9,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,17,300,175,147,112,41,126,255,49.4,129,179,53,126,157,457,347,11,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,17,275,152,137,103,35,133,292,45.5,159,181,70,111,140,415,424,20,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,17,357,204,184,131,42,160,338,47.3,178,254,94,160,133,490,441,13,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,16,287,185,130,114,43,157,287,54.7,130,158,35,123,136,423,270,10,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,17,224,138,86,87,51,94,191,49.2,97,151,39,112,105,329,239,16,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,17,362,220,173,131,58,175,320,54.7,145,163,47,116,181,543,292,12,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,17,274,170,118,112,44,142,269,52.8,127,210,70,140,129,403,349,15,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,17,315,187,187,99,29,145,277,52.3,132,188,65,123,165,480,471,7,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,17,277,165,130,113,34,117,260,45.0,143,199,95,104,136,413,404,27,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,17,312,200,130,131,51,152,292,52.1,140,189,57,132,156,468,311,14,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,17,297,181,154,107,36,131,253,51.8,122,215,83,132,148,445,437,12,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,17,361,211,204,120,37,159,306,52.0,147,213,74,139,132,493,414,13,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
