,,,players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,23,17,425,25.0,314,41,25,30,11,4,59,3.47,39,9,2,6,3,0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,17,387,22.76,265,46,16,36,15,9,46,2.71,37,3,1,3,1,1,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,17,494,29.06,381,29,20,30,20,14,46,2.71,25,5,3,4,9,0,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,17,325,19.12,237,32,19,17,15,5,58,3.41,43,5,3,3,4,0,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,17,422,24.82,303,32,27,25,30,5,44,2.59,35,1,3,3,1,1,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,17,473,27.82,364,22,30,31,15,11,67,3.94,49,3,5,4,4,2,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,17,399,23.47,294,35,16,35,17,2,31,1.82,19,4,2,4,2,0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,16,327,20.44,241,30,16,15,18,7,22,1.37,13,1,1,1,3,3,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,17,419,24.65,315,36,18,29,10,11,43,2.53,37,0,3,0,1,2,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,17,308,18.12,215,39,23,12,14,5,24,1.41,20,1,2,1,0,0,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,17,273,16.06,196,29,19,9,19,1,37,2.18,24,3,5,2,3,0,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,16,451,28.19,338,28,32,28,14,11,65,4.06,56,1,2,3,3,0,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,17,539,31.71,429,34,33,25,13,5,49,2.88,32,2,7,5,1,2,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,17,424,24.94,331,32,20,15,18,8,37,2.18,24,3,3,2,2,3,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,17,426,25.06,329,33,20,18,19,7,49,2.88,40,3,2,1,2,1,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,17,393,23.12,279,38,21,32,16,7,36,2.12,21,5,0,3,5,2,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,17,280,16.47,202,21,16,21,15,5,20,1.18,13,1,2,3,0,1,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,17,453,26.65,343,33,28,28,16,5,63,3.71,49,2,7,3,1,1,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,17,428,25.18,294,40,26,39,17,12,33,1.94,15,4,2,9,3,0,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,17,319,18.76,237,24,23,15,11,9,49,2.88,41,1,4,1,0,2,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
