,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,23,17,39,3,2,199,171,34,335,109,172,2,1,0,639,225,217,50.9,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,17,41,1,1,204,220,18,270,120,164,2,2,0,644,144,172,45.6,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,17,41,0,0,222,167,36,365,165,197,6,1,0,875,233,292,44.4,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,17,28,1,0,137,157,30,310,138,182,2,1,1,738,294,240,55.1,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,17,37,1,1,202,191,19,327,138,173,0,2,1,739,219,197,52.6,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,17,53,1,1,208,211,26,281,136,182,3,4,0,716,163,164,49.8,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,17,41,1,0,184,183,30,287,142,212,1,1,2,761,234,303,43.6,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,16,30,1,0,182,156,45,270,149,183,0,1,0,682,221,202,52.2,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,17,42,2,0,185,171,25,378,157,175,1,0,1,686,203,222,47.8,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,17,46,2,2,207,182,28,252,140,152,0,3,0,666,252,228,52.5,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,17,43,0,0,196,190,28,271,133,204,2,1,2,669,243,247,49.6,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,16,36,1,0,184,160,24,271,136,185,3,1,0,709,177,132,57.3,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,17,38,1,1,132,179,17,337,105,138,1,3,1,654,136,137,49.8,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,17,40,1,0,189,157,33,255,181,220,2,3,0,759,200,203,49.6,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,17,36,1,0,176,224,29,310,129,170,2,0,1,757,201,196,50.6,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,17,43,2,2,193,187,45,282,165,187,2,1,0,691,246,243,50.3,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,17,52,3,0,202,225,26,252,136,165,2,2,0,579,145,140,50.9,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,17,36,0,0,190,227,28,368,156,200,0,2,0,789,167,178,48.4,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,17,44,2,1,205,159,31,296,148,181,2,2,1,737,265,251,51.4,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,17,42,1,1,224,182,31,225,132,211,0,5,3,727,205,209,49.5,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
