,,,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,23,17,33,238,85,35.7,14.0,5.0,0.13,0.36,14.5,1,2,2,29.3,27.8,0.12,3.7,3.2,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,17,25,218,69,31.7,12.82,4.06,0.11,0.35,15.2,4,1,2,27.1,25.5,0.12,-2.1,-1.5,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,17,27,274,87,31.8,16.12,5.12,0.08,0.25,17.4,5,5,6,34.3,29.5,0.11,-7.3,-7.5,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,17,32,179,80,44.7,10.53,4.71,0.17,0.38,15.2,5,2,2,26.1,24.5,0.14,5.9,5.5,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,17,26,245,81,33.1,14.41,4.76,0.11,0.32,17.3,14,0,0,23.9,23.9,0.1,2.1,2.1,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,17,37,265,97,36.6,15.59,5.71,0.13,0.35,16.2,10,3,3,35.4,33.0,0.13,1.6,1.0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,17,17,239,76,31.8,14.06,4.47,0.07,0.21,17.2,6,1,1,23.5,22.7,0.1,-6.5,-6.7,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,16,12,186,58,31.2,11.62,3.62,0.06,0.21,17.6,9,0,0,15.8,15.8,0.09,-3.8,-3.8,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,17,23,230,79,34.3,13.53,4.65,0.1,0.28,16.5,4,1,2,23.0,21.4,0.09,0.0,0.6,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,17,15,173,53,30.6,10.18,3.12,0.09,0.28,16.9,5,0,0,15.9,15.9,0.09,-0.9,-0.9,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,17,21,153,52,34.0,9.0,3.06,0.12,0.37,17.6,2,2,2,17.2,15.8,0.1,3.8,3.2,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,16,37,252,99,39.3,15.75,6.19,0.13,0.33,15.8,4,4,4,35.2,32.1,0.13,1.8,0.9,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,17,29,293,98,33.4,17.24,5.76,0.1,0.29,16.9,7,1,1,30.7,29.9,0.11,-1.7,-1.9,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,17,20,229,82,35.8,13.47,4.82,0.08,0.22,17.5,6,2,2,25.4,23.8,0.11,-5.4,-5.8,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,17,26,231,71,30.7,13.59,4.18,0.11,0.35,15.7,6,1,2,27.6,26.0,0.11,-1.6,-1.0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,17,23,224,78,34.8,13.18,4.59,0.09,0.27,17.8,7,2,2,20.6,19.1,0.09,2.4,1.9,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,17,11,152,45,29.6,8.94,2.65,0.07,0.24,16.1,4,0,2,17.1,15.4,0.1,-6.1,-4.4,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,17,37,258,100,38.8,15.18,5.88,0.14,0.37,15.9,6,0,0,31.8,31.8,0.13,5.2,5.2,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,17,21,249,73,29.3,14.65,4.29,0.07,0.25,16.5,5,3,3,24.7,22.4,0.09,-3.7,-4.4,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,17,27,184,71,38.6,10.82,4.18,0.15,0.38,18.1,4,0,0,17.8,17.8,0.1,9.2,9.2,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
