,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,23,26.4,54.6,17,187,1530,17,33,27,60,31,2,2,39,3,29.3,27.8,22.3,50.1,352,770,1.94,1.59,3.53,1.82,3.41,1.72,1.31,3.03,1.64,2.94,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,27.5,50.1,17,187,1530,17,25,20,45,24,1,2,41,1,27.1,25.5,20.1,45.6,308,587,1.47,1.18,2.65,1.41,2.59,1.59,1.18,2.78,1.5,2.68,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,25.9,45.0,17,187,1530,17,27,18,45,22,5,6,41,0,34.3,29.5,23.1,52.6,316,686,1.59,1.06,2.65,1.29,2.35,2.02,1.36,3.37,1.74,3.09,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,26.5,47.9,17,187,1530,17,32,20,52,30,2,2,28,1,26.1,24.5,19.0,43.6,258,643,1.88,1.18,3.06,1.76,2.94,1.54,1.12,2.66,1.44,2.56,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,25.8,53.4,17,187,1530,17,26,17,43,26,0,0,37,1,23.9,23.9,16.8,40.7,376,734,1.53,1.0,2.53,1.53,2.53,1.4,0.99,2.4,1.4,2.4,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,24.0,57.6,17,187,1530,17,37,28,65,34,3,3,53,1,35.4,33.0,26.3,59.3,389,683,2.18,1.65,3.82,2.0,3.65,2.08,1.55,3.63,1.94,3.49,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,26.6,43.4,17,187,1530,17,17,14,31,16,1,1,41,1,23.5,22.7,18.6,41.3,242,560,1.0,0.82,1.82,0.94,1.76,1.38,1.1,2.48,1.33,2.43,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,29.2,39.0,16,176,1440,16,12,7,19,12,0,0,30,1,15.8,15.8,12.2,28.1,218,432,0.75,0.44,1.19,0.75,1.19,0.99,0.76,1.75,0.99,1.75,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,28.3,51.2,17,187,1530,17,23,21,44,22,1,2,42,2,23.0,21.4,18.3,39.7,354,695,1.35,1.24,2.59,1.29,2.53,1.35,1.08,2.43,1.26,2.34,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,26.4,42.9,17,187,1530,17,15,12,27,15,0,0,46,2,15.9,15.9,12.4,28.3,239,450,0.88,0.71,1.59,0.88,1.59,0.94,0.73,1.67,0.94,1.67,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,26.9,46.6,17,187,1530,17,21,17,38,19,2,2,43,0,17.2,15.8,13.8,29.6,266,507,1.24,1.0,2.24,1.12,2.12,1.01,0.81,1.83,0.93,1.74,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,27.5,56.4,16,176,1440,16,37,28,65,33,4,4,36,1,35.2,32.1,24.9,57.0,328,705,2.31,1.75,4.06,2.06,3.81,2.2,1.56,3.76,2.01,3.56,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,27.8,62.3,17,187,1530,17,29,20,49,28,1,1,38,1,30.7,29.9,25.8,55.7,569,938,1.71,1.18,2.88,1.65,2.82,1.81,1.52,3.32,1.76,3.28,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,26.4,54.2,17,187,1530,17,20,17,37,18,2,2,40,1,25.4,23.8,20.4,44.2,291,630,1.18,1.0,2.18,1.06,2.06,1.49,1.2,2.69,1.4,2.6,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,27.6,50.5,17,187,1530,17,26,22,48,25,1,2,36,1,27.6,26.0,21.9,47.9,309,679,1.53,1.29,2.82,1.47,2.76,1.62,1.29,2.91,1.53,2.82,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,26.9,40.6,17,187,1530,17,23,14,37,21,2,2,43,2,20.6,19.1,14.5,33.6,309,481,1.35,0.82,2.18,1.24,2.06,1.21,0.85,2.07,1.12,1.98,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,26.1,52.4,17,187,1530,17,11,7,18,11,0,2,52,3,17.1,15.4,12.9,28.3,316,531,0.65,0.41,1.06,0.65,1.06,1.01,0.76,1.77,0.9,1.66,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,26.0,57.8,17,187,1530,17,37,30,67,37,0,0,36,0,31.8,31.8,25.2,57.0,424,827,2.18,1.76,3.94,2.18,3.94,1.87,1.48,3.35,1.87,3.35,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,28.9,46.9,17,187,1530,17,21,11,32,18,3,3,44,2,24.7,22.4,16.2,38.6,301,582,1.24,0.65,1.88,1.06,1.71,1.45,0.95,2.4,1.32,2.27,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,27.3,46.6,17,187,1530,17,27,24,51,27,0,0,42,1,17.8,17.8,15.3,33.1,242,492,1.59,1.41,3.0,1.59,3.0,1.05,0.9,1.95,1.05,1.95,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
