,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,32,31,2835.0,31.5,42.0,1.33,145.0,104.0,75.9,16.0,7.0,8,7.0,22.6,7.0,7.0,0.0,0.0,0.0
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,7,7,585.0,6.5,9.0,1.38,37.0,28.0,75.7,5.0,0.0,2,1.0,14.3,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12,12,1080.0,12.0,18.0,1.5,56.0,38.0,73.2,4.0,3.0,5,4.0,33.3,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24,24,2160.0,24.0,47.0,1.96,104.0,59.0,56.7,8.0,3.0,13,5.0,20.8,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2,2,180.0,2.0,5.0,2.5,13.0,9.0,61.5,1.0,0.0,1,1.0,50.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4,4,360.0,4.0,5.0,1.25,18.0,13.0,83.3,1.0,1.0,2,1.0,25.0,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34,34,3060.0,34.0,55.0,1.62,152.0,96.0,69.1,8.0,8.0,18,6.0,17.6,8.0,8.0,0.0,0.0,0.0
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,1987,19,19,1710.0,19.0,41.0,2.16,116.0,75.0,65.5,3.0,3.0,13,4.0,21.1,2.0,1.0,1.0,0.0,50.0
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,1986,19,19,1710.0,19.0,27.0,1.42,83.0,59.0,68.7,8.0,4.0,7,4.0,21.1,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38,38,3420.0,38.0,69.0,1.82,207.0,135.0,68.6,10.0,4.0,24,10.0,26.3,7.0,4.0,3.0,0.0,42.9
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36,36,3240.0,36.0,39.0,1.08,121.0,81.0,68.6,20.0,8.0,8,14.0,38.9,2.0,1.0,1.0,0.0,50.0
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,1981,2,2,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0,2.0,100.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1,1,90.0,1.0,4.0,4.0,9.0,5.0,55.6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Crystal Palace,Vicente Guaita,ESP,GK,31,1987,20,20,1755.0,19.5,23.0,1.18,85.0,63.0,74.1,10.0,4.0,6,7.0,35.0,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,1819,Crystal Palace,Wayne Hennessey,WAL,GK,31,1987,18,17,1575.0,17.5,26.0,1.49,69.0,42.0,66.7,4.0,3.0,10,5.0,29.4,4.0,3.0,1.0,0.0,25.0
ENG-Premier League,1819,Everton,Jordan Pickford,ENG,GK,24,1994,38,38,3420.0,38.0,46.0,1.21,136.0,89.0,67.6,15.0,9.0,14,14.0,36.8,5.0,2.0,3.0,0.0,60.0
ENG-Premier League,1819,Fulham,Fabricio,ESP,GK,30,1987,2,2,180.0,2.0,5.0,2.5,21.0,16.0,76.2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Fulham,Marcus Bettinelli,ENG,GK,26,1992,7,7,630.0,7.0,20.0,2.86,40.0,19.0,52.5,1.0,2.0,4,0.0,0.0,3.0,1.0,1.0,1.0,50.0
ENG-Premier League,1819,Fulham,Sergio Rico,ESP,GK,24,1993,29,29,2610.0,29.0,56.0,1.93,165.0,111.0,68.5,6.0,3.0,20,5.0,17.2,4.0,4.0,0.0,0.0,0.0
ENG-Premier League,1819,Huddersfield,Ben Hamer,ENG,GK,30,1987,7,7,553.0,6.1,21.0,3.42,42.0,22.0,57.1,0.0,1.0,6,0.0,0.0,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,1819,Huddersfield,Joel Coleman,ENG,GK,22,1995,1,1,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Huddersfield,Jonas Lössl,DEN,GK,29,1989,31,30,2777.0,30.9,54.0,1.75,141.0,86.0,64.5,3.0,5.0,22,5.0,16.7,5.0,4.0,1.0,0.0,20.0
