,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,42.0,7.0,1.0,3.0,1.0,44.3,0.27,3.3,0.1,127.0,385,33.0,876,181.0,29.3,31.5,227,56.4,45.3,385,10.0,2.6,40.0,1.27,15.3
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,9.0,0.0,0.0,0.0,0.0,9.2,0.26,0.2,0.03,32.0,93,34.4,217,46.0,28.6,31.7,53,58.5,46.5,104,6.0,5.8,8.0,1.23,12.9
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,18.0,3.0,2.0,1.0,0.0,15.9,0.24,-2.1,-0.17,57.0,167,34.1,236,62.0,39.8,36.6,112,65.2,48.2,213,4.0,1.9,9.0,0.75,14.3
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,47.0,2.0,0.0,5.0,2.0,34.5,0.32,-10.5,-0.44,129.0,328,39.3,466,128.0,42.5,35.9,192,67.7,49.9,365,24.0,6.6,16.0,0.67,11.3
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,5.0,0.0,0.0,0.0,1.0,4.7,0.37,0.7,0.35,5.0,17,29.4,42,13.0,28.6,30.0,14,35.7,38.0,18,0.0,0.0,5.0,2.5,29.8
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4.0,5.0,2.0,0.0,0.0,0.0,4.8,0.15,-0.2,-0.06,26.0,87,29.9,74,9.0,73.0,47.7,34,97.1,65.1,55,3.0,5.5,2.0,0.5,13.5
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,55.0,8.0,1.0,5.0,0.0,51.2,0.29,-3.8,-0.11,302.0,735,41.1,702,100.0,61.7,42.7,324,93.2,58.8,506,17.0,3.4,11.0,0.32,11.6
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,1987,19.0,41.0,1.0,1.0,6.0,1.0,36.0,0.3,-4.0,-0.21,202.0,500,40.4,434,50.0,75.8,49.2,181,94.5,65.2,310,6.0,1.9,14.0,0.74,13.3
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,27.0,1.0,1.0,2.0,3.0,22.0,0.26,-2.0,-0.1,179.0,457,39.2,414,45.0,73.4,48.2,172,89.0,60.7,333,8.0,2.4,29.0,1.53,16.4
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,69.0,4.0,1.0,12.0,0.0,68.2,0.3,-0.8,-0.02,337.0,1076,31.3,876,51.0,86.6,53.9,319,99.4,65.6,536,15.0,2.8,46.0,1.21,15.4
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,39.0,1.0,0.0,6.0,0.0,36.5,0.29,-2.5,-0.07,114.0,230,49.6,903,156.0,15.7,25.9,256,34.4,36.5,369,14.0,3.8,35.0,0.97,18.1
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.3,0.16,9.0,20,45.0,47,9.0,19.1,29.5,16,68.8,46.6,26,2.0,7.7,0.0,0.0,5.8
ENG-Premier League,1819,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1.0,4.0,0.0,0.0,1.0,0.0,3.6,0.4,-0.4,-0.37,11.0,31,35.5,22,3.0,90.9,53.1,13,84.6,54.9,18,1.0,5.6,0.0,0.0,3.8
ENG-Premier League,1819,Crystal Palace,Vicente Guaita,ESP,GK,31,1987,19.5,23.0,1.0,0.0,2.0,1.0,20.3,0.23,-1.7,-0.09,123.0,396,31.1,398,90.0,56.5,41.4,191,89.5,58.7,317,13.0,4.1,10.0,0.51,12.5
ENG-Premier League,1819,Crystal Palace,Wayne Hennessey,WAL,GK,31,1987,17.5,26.0,3.0,1.0,4.0,0.0,22.8,0.28,-3.2,-0.18,111.0,342,32.5,373,66.0,59.0,43.6,143,85.3,63.1,300,13.0,4.3,15.0,0.86,13.6
ENG-Premier League,1819,Everton,Jordan Pickford,ENG,GK,24,1994,38.0,46.0,2.0,2.0,9.0,2.0,45.3,0.3,1.3,0.03,253.0,724,34.9,979,152.0,54.0,42.3,291,67.0,53.7,431,14.0,3.2,40.0,1.05,17.3
ENG-Premier League,1819,Fulham,Fabricio,ESP,GK,30,1987,2.0,5.0,0.0,1.0,0.0,0.0,4.3,0.21,-0.7,-0.36,16.0,28,57.1,47,14.0,40.4,35.4,14,64.3,44.0,29,2.0,6.9,3.0,1.5,13.6
ENG-Premier League,1819,Fulham,Marcus Bettinelli,ENG,GK,26,1992,7.0,20.0,1.0,0.0,1.0,0.0,17.5,0.39,-2.5,-0.36,64.0,143,44.8,176,32.0,49.4,37.3,67,83.6,53.9,129,1.0,0.8,11.0,1.57,16.0
ENG-Premier League,1819,Fulham,Sergio Rico,ESP,GK,24,1993,29.0,56.0,4.0,0.0,9.0,2.0,50.6,0.29,-3.4,-0.12,252.0,606,41.6,611,91.0,61.4,41.9,275,84.0,55.6,471,6.0,1.3,28.0,0.97,14.3
ENG-Premier League,1819,Huddersfield,Ben Hamer,ENG,GK,30,1987,6.1,21.0,3.0,2.0,1.0,1.0,18.5,0.37,-1.5,-0.25,57.0,155,36.8,151,12.0,73.5,48.9,52,84.6,56.3,69,5.0,7.2,4.0,0.65,12.8
ENG-Premier League,1819,Huddersfield,Joel Coleman,ENG,GK,22,1995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.18,-0.5,-0.47,7.0,29,24.1,31,0.0,74.2,48.3,6,100.0,65.7,12,1.0,8.3,1.0,1.0,15.8
ENG-Premier League,1819,Huddersfield,Jonas Lössl,DEN,GK,29,1989,30.9,54.0,4.0,1.0,6.0,0.0,42.1,0.27,-11.9,-0.39,275.0,631,43.6,880,97.0,52.3,40.7,223,76.7,55.6,345,24.0,7.0,29.0,0.94,13.3
ENG-Premier League,1819,Leicester City,Kasper Schmeichel,DEN,GK,31,1986,38.0,48.0,5.0,0.0,4.0,0.0,40.0,0.26,-8.0,-0.21,282.0,639,44.1,935,127.0,44.3,37.7,310,72.6,52.3,534,12.0,2.2,25.0,0.66,12.5
