,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,38,641,362,306,247,88,232,536,43.3,304,496,132,364,525,1166,841,28,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,38,643,388,297,272,74,287,578,49.7,291,472,102,370,423,1066,830,14,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,38,583,346,272,223,88,247,516,47.9,269,367,87,280,399,982,711,13,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,38,477,291,236,189,52,163,370,44.1,207,329,84,245,307,784,952,11,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,38,546,326,283,217,46,214,474,45.1,260,373,117,256,314,860,987,15,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,38,712,403,371,266,75,253,702,36.0,449,561,194,367,568,1280,978,21,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,38,763,422,358,307,98,290,667,43.5,377,432,132,300,426,1189,886,14,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,38,728,430,329,324,75,258,586,44.0,328,462,139,323,410,1138,1046,20,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,28,38,700,428,298,306,96,214,566,37.8,352,377,110,267,446,1146,765,18,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,38,612,387,302,269,41,213,443,48.1,230,437,115,322,427,1039,1014,19,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,38,629,378,292,262,75,272,664,41.0,392,434,134,300,480,1109,928,19,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,23,38,687,412,411,231,45,263,619,42.5,356,477,141,336,499,1186,1101,21,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,21,38,688,379,469,192,27,296,733,40.4,437,493,191,302,448,1136,1133,27,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,28,38,655,385,330,249,76,231,552,41.8,321,430,129,301,442,1097,898,21,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,38,608,367,281,257,70,207,443,46.7,236,389,116,273,351,959,922,18,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,38,601,348,320,222,59,221,508,43.5,287,406,134,272,377,978,889,23,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,38,651,383,338,245,68,302,672,44.9,370,501,141,360,504,1155,937,33,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,38,669,392,328,255,86,251,543,46.2,292,418,125,293,451,1120,998,17,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,38,669,414,307,290,72,279,668,41.8,389,457,115,342,409,1078,807,16,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,38,666,410,304,295,67,264,595,44.4,331,437,119,318,387,1053,828,24,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,29,38,656,388,317,242,97,286,697,41.0,411,354,100,254,425,1081,722,19,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,28,38,530,315,248,206,76,217,569,38.1,352,353,115,238,346,876,785,14,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,27,38,661,389,299,265,97,277,602,46.0,325,443,117,326,402,1063,824,15,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,25,38,648,385,329,250,69,249,584,42.6,335,426,126,300,428,1076,748,16,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,22,38,499,319,235,219,45,208,454,45.8,246,285,91,194,293,792,841,20,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,27,38,672,381,325,269,78,258,718,35.9,460,471,179,292,434,1106,950,20,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,38,745,425,383,287,75,266,698,38.1,432,370,100,270,449,1194,712,14,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,38,580,358,273,238,69,235,609,38.6,374,415,127,288,383,963,846,13,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,38,639,402,299,255,85,311,688,45.2,377,416,137,279,432,1071,836,17,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,38,577,346,345,190,42,271,658,41.2,387,437,159,278,456,1033,1147,33,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,38,575,337,360,173,42,234,721,32.5,487,468,220,248,477,1052,1000,24,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,38,697,385,348,272,77,301,747,40.3,446,444,124,320,485,1182,721,21,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,38,562,334,248,239,75,274,674,40.7,400,365,114,251,341,903,616,7,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,38,684,400,291,275,118,278,705,39.4,427,444,120,324,430,1114,602,13,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,38,481,296,277,167,37,188,534,35.2,346,334,90,244,351,832,903,15,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,38,619,362,337,232,50,257,680,37.8,423,407,130,277,428,1047,824,22,/en/squads/33c895d4/2019-2020/Southampton-Stats
