,,,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Unnamed: 30_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,2,38,73,4,3,8,4,58.0,0.33,-11.0,-0.29,280,687,40.8,837,145,53.4,40.7,305,78.7,54.6,455,13,2.9,30,0.79,13.8,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,3,38,56,7,0,8,1,55.7,0.3,0.7,0.02,288,727,39.6,889,125,52.6,40.1,306,84.6,58.0,475,13,2.7,28,0.74,13.5,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,2,38,35,5,0,10,0,32.0,0.26,-3.0,-0.08,185,549,33.7,828,127,43.1,36.4,262,73.3,53.0,523,24,4.6,42,1.11,15.8,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,2,38,45,2,0,10,2,39.7,0.34,-3.3,-0.09,243,711,34.2,1038,148,44.6,37.1,300,82.7,56.5,545,40,7.3,33,0.87,13.5,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,1,38,34,3,0,4,1,35.6,0.29,2.6,0.07,183,472,38.8,902,173,30.6,32.4,286,68.5,51.0,441,21,4.8,35,0.92,13.7,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,2,38,63,5,0,8,2,61.3,0.29,0.3,0.01,310,771,40.2,932,134,54.1,41.0,338,79.0,55.3,547,19,3.5,18,0.47,13.8,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,3,38,51,10,1,3,3,43.2,0.23,-4.8,-0.13,240,529,45.4,708,109,46.6,38.2,306,65.0,49.8,449,19,4.2,37,0.97,14.8,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,1,38,54,2,2,8,1,45.8,0.26,-7.2,-0.19,231,667,34.6,881,139,49.1,39.5,303,77.2,54.8,636,23,3.6,33,0.87,13.5,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,3,38,34,2,0,4,1,39.1,0.25,6.1,0.16,273,647,42.2,990,150,45.4,38.5,286,69.2,52.8,467,26,5.6,30,0.79,14.0,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,3,38,22,1,1,3,1,25.1,0.21,4.1,0.11,235,642,36.6,964,155,43.7,36.9,293,75.4,53.4,602,17,2.8,42,1.11,16.3,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
