,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,38,16319,14430,1795,464,68,150,627,733,184,71,82,5,12313,94,360,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,38,20430,18560,1786,368,72,142,753,793,225,99,80,6,16091,84,340,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,38,21902,19966,1899,513,43,139,725,835,216,68,91,15,17677,37,334,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,38,21331,19291,1994,448,55,185,811,918,245,81,67,13,16631,46,380,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,38,22088,20080,1972,421,58,109,662,923,270,111,99,15,17574,36,409,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,38,15784,13989,1718,407,32,169,511,731,141,54,31,10,12084,77,347,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,38,20996,19077,1858,430,54,237,840,818,216,74,114,8,16735,61,397,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,38,17729,15626,2018,470,79,137,568,975,179,79,58,11,13146,85,395,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,28,38,20508,18494,1935,480,64,185,808,871,226,102,71,12,16080,79,370,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,38,20248,18262,1911,441,67,135,526,947,170,67,62,10,15904,75,415,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,38,18601,16602,1911,395,46,136,698,911,202,97,75,10,14135,88,437,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,23,38,15810,13964,1722,363,41,155,472,740,125,55,35,11,11572,124,331,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,21,38,13564,11859,1643,407,29,129,359,615,82,39,28,6,9950,62,289,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,28,38,17529,15643,1814,492,45,151,662,756,186,68,74,12,13430,72,391,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,38,23109,21078,1968,442,73,163,834,960,231,101,94,16,18449,63,437,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,38,21051,18875,2088,462,63,152,710,1012,214,78,60,25,16244,88,460,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,38,15982,14084,1791,430,72,208,662,776,187,86,57,16,11840,107,379,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,38,19586,17653,1818,491,87,169,741,769,210,92,66,10,15141,115,360,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,38,19548,17686,1737,375,86,129,711,799,207,89,85,5,15357,125,434,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,38,21077,19138,1891,456,39,112,654,873,190,75,60,8,16749,48,430,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
