,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,26.8,38,3420,90,100,38,418,83,,104,18,162,0.97,51,73,-22,-0.58,54.2,60.1,-5.9,-0.15,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,26.8,38,3420,90,100,38,418,86,,109,17,157,1.66,70,56,14,0.37,57.2,53.3,3.9,0.1,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,26.8,38,3420,90,100,38,418,84,,104,18,162,1.82,60,35,25,0.66,59.1,35.3,23.8,0.63,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,26.7,38,3420,90,100,38,418,86,,109,22,157,1.76,68,45,23,0.61,62.1,44.4,17.7,0.47,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,26.7,38,3420,90,100,38,418,85,,99,22,167,2.0,69,34,35,0.92,61.5,42.4,19.1,0.5,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,26.8,38,3420,90,100,38,418,85,,102,19,164,0.87,39,63,-24,-0.63,36.4,58.6,-22.2,-0.58,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,26.7,38,3420,90,100,38,418,87,,110,20,156,1.53,53,51,2,0.05,50.1,47.6,2.5,0.07,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,26.8,38,3420,90,100,38,418,85,,104,21,162,1.34,46,54,-8,-0.21,45.7,49.7,-4.0,-0.1,/en/squads/d3fd31cc/2018-2019/Everton-Stats
