,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,28,26.7,38,3420,90,100,38,418,83,,113,26,153,1.84,73,51,22,0.58,60.1,54.2,5.9,0.15,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,Bournemouth,28,26.6,38,3420,90,100,38,418,86,,104,17,162,1.18,56,70,-14,-0.37,53.3,57.2,-3.9,-0.1,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,Brighton,21,27.4,38,3420,90,100,38,418,84,,99,22,167,0.95,35,60,-25,-0.66,35.3,59.1,-23.8,-0.63,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,Burnley,23,28.0,38,3420,90,100,38,418,86,,86,18,180,1.05,45,68,-23,-0.61,44.4,62.1,-17.7,-0.47,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,Cardiff City,25,27.7,38,3420,90,100,38,418,85,,109,18,157,0.89,34,69,-35,-0.92,42.4,61.5,-19.1,-0.5,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,Chelsea,24,27.3,38,3420,90,100,38,418,85,,113,20,153,1.89,63,39,24,0.63,58.6,36.4,22.2,0.58,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,Crystal Palace,26,27.4,38,3420,90,100,38,418,87,,92,14,174,1.29,51,53,-2,-0.05,47.6,50.1,-2.5,-0.07,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,Everton,23,25.7,38,3420,90,100,38,418,85,,111,16,155,1.42,54,46,8,0.21,49.7,45.7,4.0,0.1,/en/squads/d3fd31cc/2018-2019/Everton-Stats
