,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Unnamed: 28_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,28,58.1,38,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14889,82855,44451,868,591,203,564,409,18303,1869,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,Bournemouth,28,46.9,38,22079,2437,7561,9507,5257,847,22071,578,291,50.3,287,49.7,13210,69260,36536,738,532,172,565,356,13405,1422,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,Brighton,21,42.4,38,20254,2464,7030,9055,4366,581,20249,516,269,52.1,247,47.9,10122,54122,26537,475,374,98,590,336,11393,1138,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,Burnley,23,41.2,38,19189,2542,6104,8875,4395,634,19186,370,207,55.9,163,44.1,7936,43013,21370,421,336,72,525,314,10031,1020,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,Cardiff City,25,35.4,38,16261,2228,5452,6544,4470,713,16257,475,260,54.7,214,45.1,6221,39405,19337,434,310,135,519,332,7078,902,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,Chelsea,24,62.9,38,30774,2105,7613,14434,8968,1029,30769,703,449,63.9,253,36.0,18388,103404,58308,1058,897,251,512,458,22820,2135,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,Crystal Palace,26,45.2,38,21679,2323,7079,9743,5112,889,21668,667,377,56.5,290,43.5,10553,62673,32736,771,496,227,576,473,12599,1448,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,Everton,23,51.5,38,23015,2175,6887,10485,5873,856,23011,587,328,55.9,258,44.0,12685,66255,34030,697,522,166,693,469,13764,1566,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,Fulham,28,48.8,38,23757,2587,7287,11921,4743,592,23754,566,352,62.2,214,37.8,10604,61784,30746,628,461,117,594,486,14992,1471,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,Huddersfield,31,47.2,38,21977,2079,6878,10026,5306,600,21976,443,230,51.9,213,48.1,10888,56003,26785,601,496,108,567,399,12938,1233,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,Leicester City,25,50.9,38,23657,2242,7084,10997,5824,804,23650,664,392,59.0,272,41.0,13747,72168,38343,752,572,197,582,357,14553,1530,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,Liverpool,23,61.8,38,29528,1938,6900,15347,7500,1124,29521,619,356,57.5,263,42.5,19312,91672,48858,857,765,221,603,424,21029,1988,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,Manchester City,21,67.9,38,32238,1825,6098,16583,9800,1458,32234,734,437,59.5,296,40.3,22457,118990,68197,1325,1017,366,509,393,24519,2412,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,Manchester Utd,28,54.7,38,25095,2262,6748,12550,5992,893,25083,553,321,58.0,231,41.8,13180,70206,39118,801,594,215,528,424,16742,1662,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,Newcastle Utd,24,40.4,38,20048,2360,7025,8767,4458,641,20045,444,236,53.2,207,46.6,8749,46542,23595,467,410,95,590,400,10705,976,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,Southampton,30,43.4,38,20812,2150,5984,9949,5087,709,20807,508,287,56.5,221,43.5,9653,54428,27555,603,444,155,539,380,11354,1313,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,Tottenham,28,59.0,38,27311,2487,7711,13441,6402,884,27307,672,370,55.1,302,44.9,17170,84748,44019,840,684,205,603,349,18666,1727,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,Watford,25,46.7,38,21508,2252,6504,9887,5303,845,21507,543,292,53.8,251,46.2,11747,56181,28366,588,434,191,586,418,12440,1273,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,West Ham,26,48.6,38,22541,2350,6338,11093,5350,782,22536,668,389,58.2,279,41.8,11634,67597,34846,731,542,189,552,390,13762,1471,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,Wolves,21,46.8,38,22684,2093,6742,11104,5061,705,22680,596,331,55.5,264,44.3,11225,63786,34764,743,494,192,498,401,13845,1335,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,Arsenal,29,53.8,38,24424,2737,8368,10648,5628,821,24421,697,411,59.0,286,41.0,14410,85069,46708,815,534,209,547,370,16527,1630,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,Aston Villa,28,44.1,38,19977,2658,7038,8203,4969,695,19974,569,352,61.9,217,38.1,10317,61373,31557,639,476,139,546,313,11546,1229,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,Bournemouth,27,44.1,38,20872,2556,7472,8683,4916,717,20868,602,325,54.0,277,46.0,12070,62723,31212,601,424,136,571,384,11946,1238,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,Brighton,25,52.2,38,24387,2721,8174,10724,5693,770,24385,584,335,57.4,249,42.6,13074,73950,37898,669,502,165,626,399,15782,1661,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,Burnley,22,41.9,38,18827,2224,5596,8993,4410,617,18823,454,246,54.2,208,45.8,8828,46545,21653,437,352,71,509,291,9969,882,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,Chelsea,27,60.4,38,29489,2281,8311,13996,7423,1063,29482,718,460,64.1,258,35.9,18488,98638,51643,983,725,222,583,414,20848,1880,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,Crystal Palace,25,44.8,38,20928,2377,7276,9017,4876,793,20925,698,432,61.9,266,38.1,10305,58519,29301,596,428,198,611,479,12187,1208,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,Everton,24,49.0,38,22035,2514,7389,9561,5301,838,22034,609,374,61.4,235,38.6,12432,65428,32588,623,502,146,593,345,13344,1421,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,Leicester City,24,57.1,38,26247,2187,7814,12226,6415,925,26240,688,377,54.8,311,45.2,16018,77180,39583,739,561,223,602,328,17485,1601,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,Liverpool,24,62.9,38,29748,2077,7168,14888,7908,1193,29743,658,387,58.8,271,41.2,20165,94607,50195,967,782,252,607,306,21151,1925,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,Manchester City,24,66.2,38,31884,2009,6806,15609,9720,1473,31873,721,487,67.5,235,32.6,23022,118327,66426,1199,964,377,456,341,24428,2453,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
