playerid,footed,Id,Name
/en/players/5bc43860/Brenden-Aaronson,Right Foot,5bc43860,Brenden-Aaronson
/en/players/f2bf1b0f/Che-Adams,Right Foot,f2bf1b0f,Che-Adams
/en/players/2b09d998/Tyler-Adams,Right Foot,2b09d998,Tyler-Adams
/en/players/c81d773d/Tosin-Adarabioyo,Right Foot,c81d773d,Tosin-Adarabioyo
/en/players/288e1e13/Nayef-Aguerd,Left Foot,288e1e13,Nayef-Aguerd
/en/players/9b398aea/Rayan-Ait-Nouri,Left Foot,9b398aea,Rayan-Ait-Nouri
/en/players/a8c0acb7/Kristoffer-Ajer,Right Foot,a8c0acb7,Kristoffer-Ajer
/en/players/89ac64a6/Manuel-Akanji,Right Foot,89ac64a6,Manuel-Akanji
/en/players/eaeca114/Nathan-Ake,Left Foot,eaeca114,Nathan-Ake
/en/players/b827d5b3/Marc-Albrighton,Right Foot,b827d5b3,Marc-Albrighton
/en/players/77e84962/Thiago-Alcantara,Right Foot,77e84962,Thiago-Alcantara
/en/players/cd1acf9d/Trent-Alexander-Arnold,Right Foot,cd1acf9d,Trent-Alexander-Arnold
/en/players/7a2e46a8/Alisson,Right Foot,7a2e46a8,Alisson
/en/players/cea4ee8f/Dele-Alli,Right Foot,cea4ee8f,Dele-Alli
/en/players/862a1c15/Miguel-Almiron,Left Foot,862a1c15,Miguel-Almiron
/en/players/15ab5a2b/Julian-Alvarez,Right Foot,15ab5a2b,Julian-Alvarez
/en/players/1a4ef233/Daniel-Amartey,Right Foot,1a4ef233,Daniel-Amartey
/en/players/e34fc66d/Joachim-Andersen,Right Foot,e34fc66d,Joachim-Andersen
/en/players/de31038e/Elliot-Anderson,Right Foot,de31038e,Elliot-Anderson
/en/players/e4238fb1/Jaidon-Anthony,Right Foot,e4238fb1,Jaidon-Anthony
/en/players/ac05f970/Michail-Antonio,Right Foot,ac05f970,Michail-Antonio
/en/players/99127249/Antony,Left Foot,99127249,Antony
/en/players/05e8ca6d/Cameron-Archer,No Data,05e8ca6d,Cameron-Archer
/en/players/2f965a72/Alphonse-Areola,Right Foot,2f965a72,Alphonse-Areola
/en/players/328f7d51/Joe-Aribo,Left Foot,328f7d51,Joe-Aribo
/en/players/68c720b5/Adam-Armstrong,Right Foot,68c720b5,Adam-Armstrong
/en/players/97333cf5/Stuart-Armstrong,Right Foot,97333cf5,Stuart-Armstrong
/en/players/28d596a0/Kepa-Arrizabalaga,Right Foot,28d596a0,Kepa-Arrizabalaga
/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Right Foot,d5dd5f1f,Pierre-Emerick-Aubameyang
/en/players/9fec8860/Ludwig-Augustinsson,Left Foot,9fec8860,Ludwig-Augustinsson
/en/players/5c2b4f07/Serge-Aurier,Right Foot,5c2b4f07,Serge-Aurier
/en/players/e5478b87/Taiwo-Awoniyi,Right Foot,e5478b87,Taiwo-Awoniyi
/en/players/da052c14/Jordan-Ayew,Right Foot,da052c14,Jordan-Ayew
/en/players/420d7c7d/Luke-Ayling,Right Foot,420d7c7d,Luke-Ayling
/en/players/53cad200/Cesar-Azpilicueta,Right Foot,53cad200,Cesar-Azpilicueta
/en/players/3a233281/Leon-Bailey,Left Foot,3a233281,Leon-Bailey
/en/players/32e8417f/Stefan-Bajcetic,No Data,32e8417f,Stefan-Bajcetic
/en/players/93feac6e/Patrick-Bamford,Left Foot,93feac6e,Patrick-Bamford
/en/players/2886c9b5/Shandon-Baptiste,Right Foot,2886c9b5,Shandon-Baptiste
/en/players/3ea50f67/Harvey-Barnes,Right Foot,3ea50f67,Harvey-Barnes
/en/players/c91441dc/Gavin-Bazunu,Right Foot,c91441dc,Gavin-Bazunu
/en/players/30db8574/Mads-Bech-Sorensen,Left Foot,30db8574,Mads-Bech-Sorensen
/en/players/4115ce4e/Jan-Bednarek,Right Foot,4115ce4e,Jan-Bednarek
/en/players/50dc94ce/Donny-van-de-Beek,Right Foot,50dc94ce,Donny-van-de-Beek
/en/players/7b4de647/Asmir-Begovic,Right Foot,7b4de647,Asmir-Begovic
